Name,Latitude,Longitude,type
Massif des Vosges,47.9990075,6.981869,montagne
Alpes,46.8876191,9.6569996,montagne
Massif Central,45.109289,2.6753452,montagne
Mont Blanc,45.8326223,6.8651749,montagne
Pyrénées,42.6681804,1.0011899,montagne
Les Petites Fourches ( Bourgogne-Franche-Comté ),47.276963,4.096089,réserve
Reserve Naturelle De Scandola ( Corse ),42.3584697,8.5679334,réserve
Monte Cinto,42.3356618907615,8.9476587931896,montagne
Parc naturel d'Armonique ( Bretagne ),48.2809530899809,-4.17216339412331,réserve
